time,$T_1$,$T_2$,$T_{wall}$,$T_{out}$,u_0
20760.0,292.32212645740213,292.32530031830663,292.2808545759515,292.07503087345606,0.0
20820.0,292.1425340643794,292.1434074660403,292.15331981954307,292.17105561274957,0.0
20880.0,292.4309746243531,292.4411964606162,292.532501881843,292.708608014605,0.0
20940.0,292.8953323092457,292.89981082696295,293.01319395653155,293.3268698522943,0.0
21000.0,293.4672167046574,293.4526990510679,293.57707818163254,293.8748308636703,0.0
21060.0,293.8998403849393,293.89345734954475,293.99312495642516,294.1947780498859,0.0
21120.0,294.1275403519929,294.13654990463584,294.1439657630844,294.1861711569037,0.0
21180.0,294.0124921922625,294.00665337872624,293.9662850229452,293.76026721098157,0.0
21240.0,293.52044993786427,293.51593982255235,293.4232163705896,293.1767169170173,0.0
21300.0,292.99642782908603,292.99517837901016,292.8939948661723,292.65033747472427,0.0
21360.0,292.5181233842356,292.51688397859874,292.4730102870772,292.2615769432964,0.0
21420.0,292.41550766537216,292.41191078808095,292.4020824269123,292.3766505599165,0.0
21480.0,292.569626023229,292.5785588989393,292.60276688290656,292.7100522088452,0.0
21540.0,292.8362824371633,292.8316326594002,292.8937011206851,293.0721310011744,0.0
21600.0,293.301285752129,293.28262146154196,293.40258516404697,293.6861324112055,0.0
21660.0,293.77077384458516,293.76456066982246,293.84728866976326,294.055457798876,0.0
21720.0,294.0973643175849,294.0865443124403,294.1486418426419,294.3092799936896,0.0
21780.0,294.26473458520786,294.2632675292732,294.2870131457917,294.238215257743,0.0
21840.0,294.0131948804019,294.00222532115225,293.9537620634077,293.77919674683585,0.0
21900.0,293.57248698728387,293.57005814127535,293.46134562481865,293.17662091506725,0.0
21960.0,293.0553494312465,293.060024881974,292.9855461038712,292.8477742313524,0.0
22020.0,292.7872524134815,292.7949249709338,292.75094502741564,292.66559718644663,0.0
22080.0,292.68910592586406,292.6889261679178,292.7088783374052,292.76166785952887,0.0
22140.0,292.94757139229154,292.93017625296517,292.99889412127106,293.2297722420028,0.0
22200.0,293.4520974910774,293.45404395042567,293.5687361250297,293.8538942629504,0.0
