time,"$T_{air,1}$","$T_{air,2}$",$T_{wall}$,$T_{out}$,u_0
47760.0,334.4224290557901,292.53293478830795,309.39482456633965,286.1808387738611,0.0
47820.0,334.30093605135716,292.4024667999913,309.4330207651275,286.18964283257344,0.0
47880.0,334.2458113719124,292.38782642663625,309.406848274277,286.2790946830252,0.0
47940.0,334.2248662217542,292.55290327173424,309.46302141650625,286.230857722235,0.0
48000.0,334.1909919586128,292.6343035719609,309.47365446330093,286.16224760450365,0.0
48060.0,334.0620135101604,292.5925038480409,309.5369537849961,286.32633906100244,0.0
48120.0,333.9973564029138,292.51951800340015,309.4945446655231,286.27984910323863,0.0
48180.0,333.9590904911135,292.6432540670028,309.589848700608,286.2204535172647,0.0
48240.0,334.0251460157925,292.66688154046284,309.7558385855865,286.16307751684013,0.0
48300.0,333.89793353163026,292.6451314586265,309.7939566919308,286.244037402813,0.0
48360.0,333.86898736810934,292.7010138703143,309.7601348109252,286.1966098046284,0.0
48420.0,333.7220781782555,292.78655754866867,309.89388088324057,286.29378001851535,0.0
48480.0,333.62649065558134,292.81081268184033,309.94609078080157,286.2153532051372,0.0
48540.0,333.5140910851974,292.7185119769523,309.97325252347486,286.07281791201564,0.0
48600.0,333.3795045084852,292.68350191064667,310.0159788260598,285.9928572043164,0.0
48660.0,333.20120921489547,292.7667332151656,309.9470306938746,285.98456780555284,0.0
48720.0,333.1044552683386,292.68376257076784,309.98661243465574,285.84190430006225,0.0
48780.0,332.8607404565823,292.71937254304333,309.99468585723986,285.7942287164449,0.0
48840.0,332.88699099403414,292.5509657185765,309.9475238624933,285.89919288469304,0.0
48900.0,332.7780077323477,292.56484419024906,310.013148248933,285.92675932499526,0.0
48960.0,332.7863389002512,292.3715668007054,309.94607717736505,286.02868273914834,0.0
49020.0,332.6022225287982,292.4002357277163,309.9685093957164,286.15164603847893,0.0
49080.0,332.5211987665506,292.49891397546224,310.07977236674753,286.139013186436,0.0
49140.0,332.4133738857715,292.4757804203839,310.0038854153119,286.2021489215104,0.0
49200.0,332.53098467584664,292.5394192499013,309.9414988471646,286.22981698298054,0.0
49260.0,332.53548598936584,292.4466923525027,309.9573436737485,286.2194476720657,0.0
49320.0,332.3653384792055,292.5166797458277,309.8809418888559,286.3321647478991,0.0
